DATE,SEA,SF,OAK,LAD,LAA,SD,ARI,COL,TEX,HOU,KC,STL,MIN,MIL,CHC,CWS,DET,CLE,CIN,PIT,TOR,BOS,NYY,NYM,PHI,BAL,WAS,ATL,TB,MIA
3/20/2019,OAK,,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/21/2019,OAK,,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/23/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/24/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/26/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/27/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/28/2019,BOS,SD,LAA,ARI,OAK,SF,LAD,MIA,CHC,TB,CWS,MIL,CLE,STL,TEX,KC,TOR,MIN,PIT,CIN,DET,SEA,BAL,WAS,ATL,NYY,NYM,PHI,HOU,COL
3/29/2019,BOS,SD,LAA,ARI,OAK,SF,LAD,MIA,,TB,,MIL,,STL,,,TOR,,PIT,CIN,DET,SEA,,,,,,,HOU,COL
3/30/2019,BOS,SD,LAA,ARI,OAK,SF,LAD,MIA,CHC,TB,CWS,MIL,CLE,STL,TEX,KC,TOR,MIN,PIT,CIN,DET,SEA,BAL,WAS,ATL,NYY,NYM,PHI,HOU,COL
3/31/2019,BOS,SD,LAA,ARI,OAK,SF,LAD,MIA,CHC,TB,CWS,MIL,CLE,STL,TEX,KC,TOR,MIN,,,DET,SEA,BAL,WAS,ATL,NYY,NYM,PHI,HOU,COL
4/1/2019,LAA,LAD,BOS,SF,SEA,ARI,SD,TB,HOU,TEX,,PIT,,CIN,ATL,CLE,NYY,CWS,MIL,STL,BAL,OAK,DET,MIA,,TOR,,CHC,COL,NYM
4/2/2019,LAA,LAD,BOS,SF,SEA,ARI,SD,TB,HOU,TEX,MIN,,KC,CIN,,,NYY,,MIL,,BAL,OAK,DET,MIA,WAS,TOR,PHI,,COL,NYM
4/3/2019,,LAD,BOS,SF,,ARI,SD,TB,HOU,TEX,MIN,PIT,KC,CIN,ATL,CLE,NYY,CWS,MIL,STL,BAL,OAK,DET,MIA,WAS,TOR,PHI,CHC,COL,NYM
4/4/2019,CWS,,BOS,,TEX,STL,,,LAA,,DET,SD,,,ATL,SEA,KC,TOR,PIT,CIN,CLE,OAK,BAL,WAS,,NYY,NYM,CHC,,
4/5/2019,,TB,HOU,COL,TEX,,BOS,LAD,LAA,OAK,,,PHI,CHC,MIL,,,TOR,PIT,CIN,CLE,ARI,,,MIN,,,MIA,SF,ATL
4/6/2019,CWS,TB,HOU,COL,TEX,STL,BOS,LAD,LAA,OAK,DET,SD,PHI,CHC,MIL,SEA,KC,TOR,PIT,CIN,CLE,ARI,BAL,WAS,MIN,NYY,NYM,MIA,SF,ATL
4/7/2019,CWS,TB,HOU,COL,TEX,STL,BOS,LAD,LAA,OAK,DET,SD,PHI,CHC,MIL,SEA,KC,TOR,PIT,CIN,CLE,ARI,BAL,WAS,MIN,NYY,NYM,MIA,SF,ATL
4/8/2019,KC,SD,BAL,STL,MIL,SF,,ATL,,NYY,SEA,LAD,,LAA,,TB,,,,,,,HOU,,WAS,OAK,PHI,COL,CWS,
4/9/2019,KC,SD,BAL,STL,MIL,SF,TEX,ATL,ARI,NYY,SEA,LAD,NYM,LAA,PIT,TB,CLE,DET,MIA,CHC,BOS,TOR,HOU,MIN,WAS,OAK,PHI,COL,CWS,CIN
4/10/2019,KC,SD,BAL,STL,MIL,SF,TEX,ATL,ARI,NYY,SEA,LAD,NYM,LAA,PIT,TB,CLE,DET,MIA,CHC,,,HOU,MIN,WAS,OAK,PHI,COL,CWS,CIN
4/11/2019,KC,COL,BAL,STL,,ARI,SD,SF,,,SEA,LAD,,,PIT,,CLE,DET,MIA,CHC,BOS,TOR,,ATL,,OAK,,NYM,,CIN
4/12/2019,HOU,COL,TEX,MIL,CHC,ARI,SD,SF,OAK,SEA,CLE,,DET,LAD,LAA,NYY,MIN,KC,,WAS,TB,BAL,CWS,ATL,MIA,BOS,PIT,NYM,TOR,PHI
4/13/2019,HOU,COL,TEX,MIL,CHC,ARI,SD,SF,OAK,SEA,CLE,CIN,DET,LAD,LAA,NYY,MIN,KC,STL,WAS,TB,BAL,CWS,ATL,MIA,BOS,PIT,NYM,TOR,PHI
4/14/2019,HOU,COL,TEX,MIL,CHC,ARI,SD,SF,OAK,SEA,CLE,CIN,DET,LAD,LAA,NYY,MIN,KC,STL,WAS,TB,BAL,CWS,ATL,MIA,BOS,PIT,NYM,TOR,PHI
4/15/2019,CLE,,,CIN,TEX,COL,,SD,LAA,,CWS,MIL,TOR,STL,MIA,KC,,SEA,LAD,,MIN,BAL,,PHI,NYM,BOS,,,,CHC
4/16/2019,CLE,WAS,HOU,CIN,TEX,COL,ATL,SD,LAA,OAK,CWS,MIL,TOR,STL,MIA,KC,PIT,SEA,LAD,DET,MIN,NYY,BOS,PHI,NYM,TB,SF,ARI,BAL,CHC
4/17/2019,CLE,WAS,HOU,CIN,TEX,,ATL,,LAA,OAK,CWS,MIL,TOR,STL,MIA,KC,PIT,SEA,LAD,DET,MIN,NYY,BOS,PHI,NYM,TB,SF,ARI,BAL,CHC
4/18/2019,LAA,WAS,,MIL,SEA,CIN,ATL,PHI,,,NYY,,TOR,LAD,,DET,CWS,,SD,,MIN,,KC,,COL,TB,SF,ARI,BAL,
4/19/2019,LAA,PIT,TOR,MIL,SEA,CIN,CHC,PHI,HOU,TEX,NYY,NYM,BAL,LAD,ARI,DET,CWS,ATL,SD,SF,OAK,TB,KC,STL,COL,MIN,MIA,CLE,BOS,WAS
4/20/2019,LAA,PIT,TOR,MIL,SEA,CIN,CHC,PHI,HOU,TEX,NYY,NYM,BAL,LAD,ARI,DET,CWS,ATL,SD,SF,OAK,TB,KC,STL,COL,MIN,MIA,CLE,BOS,WAS
4/21/2019,LAA,PIT,TOR,MIL,SEA,CIN,CHC,PHI,HOU,TEX,NYY,NYM,BAL,LAD,ARI,DET,CWS,ATL,SD,SF,OAK,TB,KC,STL,COL,MIN,MIA,CLE,BOS,WAS
4/22/2019,,,TEX,,NYY,,PIT,WAS,OAK,MIN,TB,MIL,HOU,STL,,BAL,BOS,,,ARI,,DET,LAA,PHI,NYM,CWS,COL,,KC,
