"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Dodgers","191","14.1 %","15.2 %","0.93",".327",".439",".647","1.086",".320","3.1",".321","0.1","0.2","-0.4","44","20.4",".443","176"
"Cubs","135","13.3 %","15.6 %","0.86",".342",".433",".570","1.003",".228","3.9",".375","0.0","-0.1","-0.1","29","11.7",".420","160"
"Mariners","166","11.4 %","24.1 %","0.48",".298",".380",".610",".989",".312","6.9",".330","-0.2","0.2","0.7","33","11.7",".401","157"
"Rangers","119","16.8 %","22.7 %","0.74",".276",".395",".551",".946",".276","5.2",".308","0.1","0.1","-0.5","23","7.6",".393","139"
"Phillies","112","17.9 %","23.2 %","0.77",".236",".384",".562",".946",".326","5.5",".232","0.1","0.1","-0.3","20","6.1",".383","142"
"Yankees","126","17.5 %","24.6 %","0.71",".277",".413",".426",".838",".149","1.0",".358","0.0","-0.3","-0.1","21","5.2",".367","131"
"Brewers","143","10.5 %","21.7 %","0.48",".254",".336",".500",".836",".246","1.6",".264","0.1","-0.1","-0.5","21","3.0",".344","115"
"Cardinals","154","7.8 %","30.5 %","0.26",".237",".303",".475",".777",".237","4.2",".289","0.1","0.0","0.5","20","0.4",".323","102"
"Mets","121","8.3 %","25.6 %","0.32",".291",".350",".391",".741",".100","5.5",".397","-0.2","-0.1","-0.1","15","0.1",".321","101"
"Red Sox","164","9.1 %","18.9 %","0.48",".252",".323",".429",".752",".177","4.7",".279","-0.1","-0.1","0.5","21","0.0",".320","94"
"Diamondbacks","166","6.0 %","21.7 %","0.28",".253",".295",".481",".776",".227","5.7",".277","0.2","-0.1","0.5","20","-0.6",".316","94"
"Braves","112","14.3 %","23.2 %","0.62",".221",".339",".368",".708",".147","4.6",".273","0.1","0.1","-0.8","13","-0.8",".312","90"
"White Sox","115","9.6 %","19.1 %","0.50",".243",".322",".398",".720",".155","3.6",".273","0.1","0.0","0.1","14","-0.9",".311","94"
"Pirates","83","16.9 %","19.3 %","0.88",".224",".366",".299",".664",".075","4.0",".280","0.0","-0.1","0.3","10","-0.9",".307","87"
"Nationals","113","4.4 %","31.9 %","0.14",".243",".301",".408",".709",".165","6.2",".338","0.1","0.0","0.9","12","-1.8",".301","85"
"Twins","102","5.9 %","22.5 %","0.26",".231",".304",".385",".689",".154","3.9",".294","-0.1","0.0","0.0","10","-2.5",".292","81"
"Orioles","113","8.0 %","25.7 %","0.31",".240",".301",".365",".666",".125","4.9",".306","0.0","-0.1","0.5","11","-3.1",".288","76"
"Padres","134","7.5 %","23.1 %","0.32",".246",".306",".369",".675",".123","3.5",".311","0.1","0.0","0.1","13","-4.1",".285","77"
"Athletics","136","7.4 %","15.4 %","0.48",".226",".287",".387",".674",".161","3.9",".232","0.1","-0.2","0.1","13","-4.2",".284","79"
"Astros","138","7.2 %","22.5 %","0.32",".213",".275",".362",".638",".150","1.7",".242","-0.2","-0.1","-1.6","12","-5.5",".274","73"
"Marlins","136","5.1 %","22.1 %","0.23",".216",".272",".368",".640",".152","3.1",".242","-0.2","-0.3","-0.5","12","-5.4",".274","70"
"Rockies","149","5.4 %","22.1 %","0.24",".239",".284",".355",".639",".116","4.7",".305","0.1","0.0","0.1","13","-6.0",".274","52"
"Royals","109","8.3 %","18.3 %","0.45",".219",".296",".323",".619",".104","8.5",".273","-0.1","0.0","0.5","9","-4.6",".271","65"
"Reds","66","7.6 %","25.8 %","0.29",".164",".227",".328",".555",".164","2.0",".190","-0.2","-0.1","-0.5","4","-4.7",".238","43"
"Rays","130","2.3 %","35.4 %","0.07",".202",".233",".323",".555",".121","5.2",".293","0.1","0.0","0.8","7","-9.3",".237","51"
"Giants","136","5.9 %","26.5 %","0.22",".177",".250",".266",".516",".089","1.7",".241","-0.2","0.0","-0.3","7","-10.5",".231","42"
"Blue Jays","143","6.3 %","24.5 %","0.26",".177",".246",".269",".516",".092","3.1",".226","-0.1","0.1","-0.1","7","-11.2",".229","40"
"Angels","139","7.9 %","15.1 %","0.52",".176",".252",".256",".508",".080","2.9",".202","-0.1","-0.2","0.1","6","-11.5",".224","38"
"Tigers","152","9.2 %","32.9 %","0.28",".156",".250",".230",".480",".074","2.5",".238","-0.5","0.2","-0.5","6","-13.4",".218","30"
"Indians","101","9.9 %","38.6 %","0.26",".133",".218",".189",".407",".056","0.7",".216","0.0","0.0","0.0","1","-11.4",".189","10"
