"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Blue Jays","14","47","5","11","11","0","10.6 %","23.4 %",".415",".360",".341",".426",".756",".476","204","-0.1","6.2","-0.1","0.7"
"Rays","13","44","2","9","7","0","18.2 %","9.1 %",".278",".333",".333",".455",".611",".443","187","0.0","4.8","-0.1","0.6"
"Astros","14","45","2","7","7","0","17.8 %","15.6 %",".314",".333",".314",".444",".629",".437","183","-0.1","4.6","-0.1","0.6"
"Phillies","17","41","3","10","9","1","12.2 %","7.3 %",".306",".300",".333",".415",".639",".434","173","0.3","4.0","0.6","0.6"
"Dodgers","15","37","2","8","8","0","10.8 %","21.6 %",".313",".409",".344",".417",".656",".440","173","0.1","3.5","0.0","0.5"
"Cardinals","13","40","1","8","7","1","5.0 %","22.5 %",".139",".481",".389",".410",".528",".393","141","0.3","2.4","0.3","0.4"
"Braves","9","28","2","4","4","0","7.1 %","17.9 %",".308",".316",".308",".357",".615",".399","148","-0.4","1.3","0.4","0.3"
"Padres","14","40","1","2","2","0","17.5 %","15.0 %",".129",".292",".258",".395",".387",".348","115","0.0","0.7","0.6","0.3"
"Red Sox","13","38","3","4","4","0","2.6 %","34.2 %",".351",".333",".270",".289",".622",".368","136","-0.1","1.2","-0.1","0.2"
"Athletics","15","35","2","5","4","2","14.3 %","17.1 %",".250",".190",".214",".343",".464",".339","118","0.0","0.6","0.0","0.2"
"Marlins","19","51","1","5","5","0","11.8 %","17.6 %",".159",".294",".250",".340",".409",".307","92","-0.2","-0.8","0.1","0.1"
"Mets","13","35","1","4","4","0","8.6 %","20.0 %",".125",".292",".250",".314",".375",".298","90","-0.1","-0.7","-0.1","0.0"
"Giants","17","39","0","2","2","0","5.1 %","23.1 %",".027",".357",".270",".308",".297",".267","67","0.0","-1.8","0.1","0.0"
"Twins","18","47","1","4","4","1","2.1 %","31.9 %",".140",".286",".209",".255",".349",".257","56","0.3","-2.4","0.3","0.0"
"Orioles","15","35","1","2","2","0","0.0 %","14.3 %",".091",".259",".242",".286",".333",".270","70","0.1","-1.6","-0.5","-0.1"
"Indians","14","34","0","1","1","1","8.8 %","14.7 %",".100",".231",".200",".265",".300",".245","50","0.1","-2.3","0.1","-0.1"
"Brewers","14","40","0","3","2","1","10.0 %","22.5 %",".029",".269",".206",".300",".235",".248","49","0.2","-2.6","0.0","-0.1"
"Reds","12","21","0","1","1","0","0.0 %","19.0 %",".050",".250",".200",".200",".250",".191","12","-0.5","-3.2","0.1","-0.2"
"White Sox","12","31","0","0","0","0","3.2 %","25.8 %",".000",".182",".133",".161",".133",".134","-18","0.0","-5.0","-0.3","-0.4"
"Cubs","16","30","0","0","0","0","6.7 %","36.7 %",".000",".059",".036",".100",".036",".075","-54","0.0","-6.5","0.2","-0.5"
