"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Dodgers","16","43","3","9","9","2","4.7 %","18.6 %",".342",".481",".421",".476",".763",".508","216","0.4","6.9","0.5","0.9"
"Yankees","14","41","4","10","10","1","12.2 %","24.4 %",".389",".364",".333",".415",".722",".460","195","0.2","5.1","-0.4","0.6"
"Blue Jays","17","43","4","7","7","0","14.0 %","27.9 %",".417",".381",".333",".419",".750",".463","197","-0.4","4.8","-0.2","0.6"
"Nationals","17","36","3","7","7","0","13.9 %","5.6 %",".367",".280",".333",".429",".700",".459","179","0.0","3.6","-0.1","0.5"
"Astros","14","42","4","6","6","0","4.8 %","16.7 %",".333",".286",".308",".357",".641",".409","163","-0.1","3.2","-0.3","0.4"
"Reds","13","43","2","7","7","1","9.3 %","20.9 %",".278",".320",".278",".395",".556",".390","137","0.0","1.9","0.4","0.4"
"Cardinals","20","51","1","6","6","0","3.9 %","17.6 %",".125",".395",".333",".373",".458",".355","124","0.0","1.5","0.6","0.4"
"Phillies","13","38","2","4","4","1","13.2 %","18.4 %",".182",".292",".273",".368",".455",".353","117","0.2","1.0","0.6","0.3"
"Mariners","14","37","2","5","5","2","10.8 %","40.5 %",".242",".438",".273",".351",".515",".363","133","0.4","1.9","-0.3","0.3"
"Diamondbacks","17","48","1","4","4","1","16.7 %","29.2 %",".162",".391",".270",".404",".432",".356","113","0.2","0.8","0.4","0.3"
"Marlins","20","47","2","7","7","0","6.4 %","23.4 %",".214",".310",".262",".340",".476",".338","113","-0.6","0.1","0.5","0.2"
"Athletics","14","38","2","5","5","0","15.8 %","23.7 %",".219",".238",".219",".342",".438",".325","120","0.0","0.7","0.1","0.2"
"Cubs","12","36","1","7","6","0","13.9 %","30.6 %",".233",".333",".233",".343",".467",".332","110","0.0","0.4","0.4","0.2"
"Angels","19","44","1","5","5","1","6.8 %","18.2 %",".125",".344",".300",".341",".425",".324","109","0.1","0.4","0.1","0.2"
"Rangers","12","32","2","4","3","1","3.1 %","31.3 %",".387",".316",".258",".281",".645",".370","135","-0.2","0.7","-0.2","0.2"
"Royals","13","33","0","4","4","3","3.0 %","9.1 %",".097",".357",".323",".344",".419",".326","98","0.5","0.3","-0.1","0.1"
"Rockies","18","42","2","6","6","0","21.4 %","26.2 %",".212",".250",".212",".381",".424",".352","105","-0.5","-0.4","-0.1","0.1"
"Giants","16","40","1","8","8","0","7.5 %","27.5 %",".167",".320",".250",".300",".417",".300","88","0.0","-0.7","0.2","0.1"
"Mets","16","36","2","4","3","0","8.3 %","22.2 %",".188",".227",".219",".306",".406",".306","95","-0.1","-0.5","0.0","0.1"
"Rays","12","36","1","4","4","3","5.6 %","27.8 %",".121",".227",".182",".229",".303",".229","45","0.7","-2.0","0.1","-0.1"
"Brewers","14","34","1","1","1","0","2.9 %","20.6 %",".100",".182",".167",".265",".267",".243","47","0.0","-2.5","0.2","-0.1"
"Indians","15","34","1","2","2","1","8.8 %","14.7 %",".097",".160",".161",".235",".258",".220","37","0.3","-2.9","0.1","-0.2"
"Twins","12","33","1","1","1","0","3.0 %","15.2 %",".094",".154",".156",".182",".250",".185","17","0.0","-4.0","-0.2","-0.3"
"Orioles","13","35","0","2","2","1","14.3 %","31.4 %",".000",".211",".133",".257",".133",".184","5","0.1","-4.3","-0.1","-0.3"
