"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Twins","84","264","20","60","57","2","9.8 %","18.2 %",".338",".331",".325",".398",".662",".431","172","-0.2","24.2","-0.5","3.2"
"Athletics","89","237","13","35","34","4","7.6 %","21.1 %",".265",".307",".280",".350",".545",".369","136","0.2","11.0","1.0","2.0"
"Yankees","88","250","16","48","45","2","11.6 %","21.2 %",".264",".303",".282",".364",".545",".377","137","-0.1","11.8","-1.8","1.8"
"Red Sox","96","289","16","39","37","4","9.3 %","18.0 %",".233",".288",".275",".349",".508",".359","121","0.0","7.6","0.4","1.8"
"Nationals","102","267","11","35","33","4","9.7 %","21.7 %",".216",".323",".275",".352",".492",".352","113","-0.3","4.1","1.7","1.4"
"Phillies","105","279","8","35","33","5","10.0 %","21.1 %",".177",".317",".266",".338",".444",".329","101","1.4","1.5","3.3","1.3"
"Cubs","106","275","10","35","32","1","11.6 %","18.9 %",".189",".295",".262",".356",".451",".342","109","-0.4","2.9","1.9","1.3"
"Rockies","84","240","11","34","33","0","7.1 %","22.9 %",".225",".368",".307",".363",".532",".374","117","-0.8","4.3","0.8","1.2"
"Rays","88","233","12","26","26","2","6.0 %","27.9 %",".224",".299",".248",".309",".472",".328","107","0.1","2.2","-0.7","1.0"
"Pirates","87","229","10","32","32","3","6.6 %","17.5 %",".212",".291",".269",".330",".481",".340","111","0.3","3.1","-1.2","0.9"
"Astros","91","256","7","26","23","1","11.3 %","16.4 %",".157",".266",".245",".337",".403",".317","100","-0.7","-0.6","0.3","0.9"
"Cardinals","71","197","7","26","26","4","10.2 %","22.3 %",".194",".275",".235",".328",".429",".324","99","0.8","0.5","1.5","0.8"
"Rangers","85","220","10","28","28","2","7.7 %","20.5 %",".237",".297",".268",".332",".505",".347","108","0.5","2.7","-2.1","0.8"
"Dodgers","69","202","5","26","24","3","11.9 %","20.8 %",".149",".287",".240",".337",".389",".311","95","0.7","-0.7","1.7","0.7"
"Indians","97","260","9","28","26","4","13.8 %","17.3 %",".180",".231",".216",".324",".396",".312","89","0.4","-3.4","1.4","0.7"
"Marlins","86","234","10","31","30","2","7.3 %","20.1 %",".185",".282",".256",".321",".441",".317","98","-1.0","-1.5","0.8","0.7"
"Braves","103","280","15","32","30","2","7.5 %","23.6 %",".195",".254",".234",".293",".430",".304","85","-0.3","-6.2","1.9","0.5"
"Brewers","74","194","8","21","21","4","7.7 %","25.8 %",".183",".297",".246",".314",".429",".312","90","-0.7","-3.3","1.6","0.5"
"Angels","90","227","8","21","20","1","10.6 %","19.8 %",".161",".238",".216",".308",".377",".297","85","-0.1","-4.4","0.0","0.4"
"Mariners","83","228","6","26","25","1","6.6 %","29.4 %",".137",".364",".270",".316",".408",".308","94","-0.1","-1.8","-3.0","0.3"
"Diamondbacks","85","233","8","30","28","0","6.4 %","25.8 %",".149",".271",".221",".296",".370",".289","76","0.2","-7.2","2.8","0.3"
"Reds","81","190","7","25","23","2","7.9 %","24.7 %",".159",".302",".247",".323",".406",".314","89","-1.0","-4.0","0.9","0.3"
"Mets","106","242","11","31","31","1","8.7 %","25.2 %",".210",".229",".206",".289",".416",".294","84","-0.9","-6.0","0.9","0.3"
"Royals","54","154","2","19","18","1","9.7 %","21.4 %",".112",".307",".246",".327",".358",".296","80","-0.4","-4.5","1.5","0.2"
"Orioles","102","260","10","28","27","2","6.9 %","26.5 %",".200",".268",".221",".290",".421",".300","84","-0.2","-5.4","-2.6","0.1"
"Padres","89","208","6","22","22","1","9.1 %","26.4 %",".141",".288",".227",".301",".368",".287","76","-2.2","-9.0","2.4","0.0"
"White Sox","90","237","7","24","23","3","4.2 %","28.3 %",".136",".299",".231",".280",".367",".277","73","0.2","-8.4","-2.1","-0.2"
"Giants","104","270","7","24","23","3","8.5 %","27.4 %",".132",".245",".194",".268",".326",".258","59","0.0","-14.8","2.8","-0.3"
"Blue Jays","94","246","13","28","28","0","5.7 %","24.4 %",".205",".199",".192",".248",".397",".270","67","-0.4","-11.3","-0.8","-0.3"
"Tigers","94","226","4","22","20","1","5.8 %","25.7 %",".121",".307",".242",".283",".362",".268","64","-0.6","-11.1","-2.2","-0.5"
