"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"Red Sox","92","254","14","54","54","1","5.9 %","21.7 %",".311",".429",".370",".402",".681",".440","175","-0.1","24.2","0.2","3.2"
"Mariners","88","248","8","39","39","9","10.1 %","28.6 %",".216",".403",".294",".377",".509",".371","138","2.4","14.3","-1.0","2.2"
"Braves","84","253","13","47","45","6","9.1 %","23.7 %",".246",".340",".290",".356",".536",".368","125","0.8","9.0","2.8","1.9"
"Rays","80","220","10","36","36","1","8.6 %","28.2 %",".240",".403",".310",".368",".550",".381","144","0.4","12.6","-1.2","1.9"
"Nationals","104","284","11","41","37","5","14.1 %","18.0 %",".204",".299",".268",".382",".472",".365","121","0.3","8.1","1.3","1.8"
"Blue Jays","89","256","14","40","38","3","10.2 %","21.1 %",".240",".298",".271",".348",".511",".360","125","-0.1","8.2","-1.0","1.6"
"Indians","82","255","13","38","37","2","8.2 %","18.4 %",".225",".290",".273",".337",".498",".343","111","0.2","3.7","2.0","1.4"
"Twins","76","229","15","37","36","0","9.2 %","22.3 %",".277",".248",".243",".314",".519",".343","113","-0.3","3.4","0.5","1.2"
"Phillies","70","190","8","23","22","0","6.8 %","26.3 %",".175",".370",".294",".342",".469",".341","110","0.3","2.6","2.8","1.1"
"Rangers","82","242","7","39","38","2","7.4 %","19.4 %",".176",".369",".312",".368",".489",".359","116","-0.6","4.2","-1.5","1.1"
"Astros","70","196","7","23","23","0","10.2 %","23.0 %",".191",".314",".260",".344",".451",".338","116","-0.9","3.0","0.6","1.0"
"Yankees","82","228","7","31","27","0","8.3 %","25.0 %",".184",".313",".251",".316",".435",".316","96","-0.3","-1.3","0.6","0.7"
"Reds","89","216","8","27","25","2","6.9 %","19.0 %",".168",".306",".270",".335",".439",".330","100","-0.8","-1.2","1.4","0.7"
"Angels","100","287","12","32","32","4","10.1 %","19.9 %",".200",".235",".220",".303",".420",".306","91","0.3","-2.9","-0.4","0.7"
"Orioles","89","271","7","40","40","12","7.7 %","23.2 %",".130",".343",".276",".336",".407",".319","97","1.7","0.3","-3.1","0.7"
"Rockies","100","270","8","37","37","1","8.9 %","22.2 %",".190",".337",".277",".341",".467",".339","94","-1.2","-3.8","1.0","0.6"
"Padres","87","221","11","25","25","0","6.8 %","27.1 %",".200",".277",".235",".300",".435",".310","92","-2.0","-4.4","2.0","0.5"
"Mets","82","231","9","30","29","2","9.5 %","19.0 %",".174",".253",".234",".322",".408",".308","92","-0.8","-3.3","0.2","0.4"
"Giants","78","195","6","17","17","1","10.3 %","25.1 %",".163",".291",".233",".313",".395",".305","88","-0.7","-4.0","2.0","0.4"
"Diamondbacks","89","227","7","27","25","2","10.1 %","19.8 %",".157",".250",".222",".313",".379",".298","82","-0.1","-5.8","2.0","0.3"
"Cardinals","88","218","8","17","16","3","5.0 %","24.3 %",".176",".278",".235",".280",".412",".291","81","1.0","-4.8","1.1","0.3"
"Dodgers","81","223","9","32","31","0","9.9 %","26.5 %",".193",".238",".203",".288",".396",".290","80","-0.1","-6.2","1.4","0.2"
"Athletics","90","219","7","21","20","2","10.5 %","23.3 %",".174",".230",".200",".292",".374",".285","78","0.0","-6.1","0.2","0.2"
"Pirates","99","259","10","31","30","4","6.2 %","21.2 %",".172",".259",".231",".287",".403",".293","79","0.0","-7.3","-0.7","0.0"
"Brewers","79","188","5","18","17","4","10.1 %","21.8 %",".141",".246",".209",".301",".350",".283","69","0.8","-7.0","1.2","0.0"
"Marlins","84","206","7","26","24","1","4.4 %","25.2 %",".152",".279",".236",".268",".387",".275","71","-0.8","-9.1","1.9","0.0"
"Cubs","74","184","6","19","18","2","8.2 %","27.2 %",".139",".229",".188",".268",".327",".258","57","0.2","-10.4","1.4","-0.3"
"Royals","101","283","3","23","21","0","8.1 %","18.0 %",".079",".279",".232",".307",".311",".275","66","-0.7","-13.0","-1.8","-0.5"
"Tigers","98","256","9","24","23","2","5.1 %","23.8 %",".153",".256",".219",".262",".372",".269","63","-0.2","-12.3","-3.0","-0.6"
"White Sox","90","222","4","15","14","5","5.0 %","28.4 %",".088",".298",".225",".264",".314",".247","54","1.2","-12.5","-1.9","-0.6"
