"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Red Sox","12.84","3.98","3.22","0.00","33.7 %","10.5 %","23.3 %",".221","1.28",".354","57.7 %","73","38","74","3.54","1.69","1.85","3.35","3.32"
"Twins","10.05","0.63","16.00","0.63","29.1 %","1.8 %","27.3 %",".189","0.77",".250","56.6 %","67","51","82","3.14","2.31","0.83","3.76","3.00"
"Mariners","9.57","1.71","5.60","0.68","25.9 %","4.6 %","21.3 %",".233","1.10",".301","84.0 %","39","59","71","1.71","2.64","-0.94","3.24","3.22"
"Padres","10.43","2.76","3.78","0.61","26.0 %","6.9 %","19.1 %",".306","1.57",".412","81.5 %","79","63","74","3.38","2.80","0.57","3.27","3.41"
"Cardinals","10.73","3.70","2.90","0.37","28.2 %","9.7 %","18.5 %",".220","1.23",".311","85.0 %","44","65","96","1.85","2.84","-0.99","4.27","3.80"
"Giants","8.44","2.81","3.00","0.56","25.9 %","8.6 %","17.2 %",".170","0.88",".216","79.4 %","54","74","102","2.25","3.09","-0.84","4.51","4.07"
"Rangers","11.84","5.21","2.27","0.47","28.7 %","12.6 %","16.1 %",".213","1.42",".306","71.4 %","66","67","98","3.32","3.16","0.15","4.47","4.12"
"Pirates","9.12","2.92","3.13","0.73","24.3 %","7.8 %","16.5 %",".213","1.14",".269","72.5 %","34","75","108","1.46","3.34","-1.88","4.78","4.09"
"Indians","6.85","3.22","2.13","0.40","19.5 %","9.2 %","10.3 %",".143","0.85",".169","86.7 %","34","79","117","1.61","3.62","-2.01","5.35","4.75"
"Blue Jays","8.56","3.29","2.60","0.99","22.6 %","8.7 %","13.9 %",".248","1.32",".303","78.6 %","79","83","81","3.62","3.84","-0.21","3.72","3.89"
"Brewers","12.60","2.25","5.60","1.80","35.0 %","6.3 %","28.8 %",".189","0.95",".238","83.3 %","81","87","67","3.60","3.91","-0.31","3.00","2.72"
"Marlins","8.86","4.22","2.10","0.84","25.0 %","11.9 %","13.1 %",".167","1.03",".204","89.6 %","50","96","108","2.11","4.15","-2.04","4.80","4.44"
"Tigers","12.38","6.38","1.94","1.13","29.2 %","15.0 %","14.2 %",".232","1.63",".322","75.4 %","96","94","110","4.50","4.34","0.16","5.03","4.46"
"Angels","8.92","2.48","3.60","1.49","23.1 %","6.4 %","16.7 %",".292","1.43",".353","68.0 %","121","96","98","5.45","4.37","1.08","4.47","3.96"
"Dodgers","7.59","3.38","2.25","1.27","20.0 %","8.9 %","11.1 %",".259","1.36",".300","73.6 %","111","106","109","4.64","4.62","0.02","4.84","4.61"
"Athletics","9.78","4.66","2.10","1.40","23.3 %","11.1 %","12.2 %",".291","1.71",".364","67.1 %","146","107","101","6.52","4.77","1.75","4.60","4.48"
"Mets","11.05","3.68","3.00","1.84","30.0 %","10.0 %","20.0 %",".208","1.16",".250","87.0 %","89","112","86","3.68","4.85","-1.17","3.82","3.52"
"Yankees","6.75","3.38","2.00","1.50","15.7 %","7.8 %","7.8 %",".330","1.83",".369","59.9 %","155","107","122","7.13","5.01","2.12","5.57","5.02"
"Reds","8.37","4.18","2.00","1.52","22.7 %","11.3 %","11.3 %",".224","1.27",".254","66.9 %","118","112","105","5.32","5.07","0.25","4.64","4.58"
"White Sox","7.16","1.95","3.67","1.95","19.1 %","5.2 %","13.9 %",".239","1.16",".247","67.8 %","79","110","94","3.58","5.09","-1.52","4.29","3.95"
"Diamondbacks","6.06","2.76","2.20","1.65","15.9 %","7.3 %","8.7 %",".266","1.35",".280","44.9 %","175","118","107","7.71","5.17","2.54","4.73","4.76"
"Orioles","7.96","4.26","1.87","1.42","20.7 %","11.1 %","9.6 %",".197","1.20",".214","76.5 %","85","109","125","3.98","5.20","-1.22","5.73","4.93"
"Royals","6.18","6.83","0.90","0.98","14.4 %","15.9 %","-1.5 %",".245","1.73",".273","73.7 %","62","125","136","2.93","5.64","-2.71","6.24","6.21"
"Rockies","9.58","6.10","1.57","1.74","23.7 %","15.1 %","8.6 %",".231","1.55",".269","80.3 %","95","123","130","4.79","5.78","-0.99","5.76","5.09"
"Phillies","13.02","3.86","3.38","2.89","32.5 %","9.6 %","22.9 %",".257","1.45",".317","71.4 %","153","131","88","6.75","5.95","0.80","3.90","3.36"
"Cubs","10.13","4.73","2.14","2.03","24.2 %","11.3 %","12.9 %",".212","1.35",".235","71.4 %","123","139","120","5.40","6.14","-0.74","5.30","4.43"
"Rays","9.00","3.94","2.29","2.53","22.2 %","9.7 %","12.5 %",".269","1.53",".292","90.7 %","101","140","116","4.50","6.18","-1.68","5.32","4.54"
"Astros","9.64","2.57","3.75","3.21","24.6 %","6.6 %","18.0 %",".246","1.29",".243","63.6 %","134","140","85","6.43","6.57","-0.14","3.92","3.76"
"Nationals","7.94","3.81","2.08","2.86","19.5 %","9.4 %","10.2 %",".259","1.48",".256","61.2 %","156","152","123","6.99","6.85","0.14","5.46","4.78"
"Braves","9.00","7.00","1.29","3.00","20.5 %","15.9 %","4.6 %",".311","2.06",".340","69.9 %","191","180","128","8.50","7.88","0.62","5.65","5.54"
