"Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA"
"Giants","9.21","2.22","4.14","0.00","29.0 %","7.0 %","22.0 %",".129","0.67",".188","84.2 %","23","45","78","0.95","1.91","-0.96","3.45","3.33"
"Diamondbacks","11.19","3.47","3.22","0.00","31.9 %","9.9 %","22.0 %",".173","0.99",".269","79.2 %","44","45","84","1.93","2.01","-0.09","3.72","3.40"
"Rangers","12.19","3.05","4.00","0.87","35.4 %","8.9 %","26.6 %",".155","0.87",".220","98.8 %","26","62","74","1.31","2.92","-1.62","3.40","2.97"
"Red Sox","12.23","5.09","2.40","0.51","29.3 %","12.2 %","17.1 %",".264","1.64",".383","65.2 %","106","65","87","5.09","2.93","2.16","4.00","3.99"
"Padres","9.62","3.10","3.10","0.62","27.7 %","8.9 %","18.8 %",".178","0.97",".235","99.2 %","22","70","82","0.93","3.11","-2.18","3.65","3.63"
"Tigers","11.81","4.05","2.92","0.68","30.2 %","10.3 %","19.8 %",".216","1.28",".308","75.3 %","72","68","83","3.38","3.14","0.24","3.81","3.65"
"Blue Jays","8.07","2.79","2.89","0.62","22.8 %","7.9 %","14.9 %",".200","1.03",".247","73.5 %","67","70","90","3.10","3.25","-0.15","4.14","4.11"
"Phillies","11.81","4.39","2.69","0.68","31.8 %","11.8 %","20.0 %",".191","1.16",".281","80.1 %","69","74","84","3.04","3.36","-0.33","3.73","3.65"
"Twins","8.76","3.28","2.67","0.73","21.2 %","8.0 %","13.3 %",".317","1.70",".397","66.3 %","110","74","113","5.11","3.42","1.69","5.19","4.51"
"White Sox","7.00","1.50","4.67","1.00","21.9 %","4.7 %","17.2 %",".164","0.72",".178","88.2 %","44","78","84","2.00","3.60","-1.60","3.82","3.55"
"Brewers","10.93","2.57","4.25","1.29","29.8 %","7.0 %","22.8 %",".210","1.07",".269","74.8 %","87","80","78","3.86","3.61","0.25","3.45","3.27"
"Cardinals","8.13","2.32","3.50","0.87","21.9 %","6.3 %","15.6 %",".237","1.16",".287","74.0 %","89","84","100","3.77","3.63","0.14","4.43","4.07"
"Royals","7.71","4.63","1.67","0.39","18.7 %","11.2 %","7.5 %",".255","1.54",".315","75.8 %","66","83","105","3.09","3.73","-0.64","4.79","4.85"
"Mets","7.31","3.94","1.86","0.56","19.4 %","10.5 %","9.0 %",".254","1.38",".311","78.7 %","82","90","132","3.38","3.90","-0.53","5.82","5.01"
"Angels","9.33","3.93","2.38","0.98","23.2 %","9.8 %","13.4 %",".306","1.66",".390","72.7 %","114","86","93","5.15","3.95","1.20","4.27","4.22"
"Athletics","7.33","3.67","2.00","0.67","18.2 %","9.1 %","9.1 %",".269","1.48",".321","71.4 %","105","90","113","4.67","3.99","0.67","5.17","4.84"
"Braves","7.88","2.25","3.50","1.13","21.9 %","6.3 %","15.6 %",".220","1.06",".256","79.0 %","76","92","99","3.38","4.03","-0.65","4.39","4.08"
"Indians","6.86","2.75","2.50","0.92","18.1 %","7.2 %","10.8 %",".213","1.12",".241","80.2 %","67","92","119","3.20","4.23","-1.03","5.44","4.67"
"Marlins","9.47","0.95","10.00","1.89","26.3 %","2.6 %","23.7 %",".233","1.00",".265","76.4 %","90","100","85","3.79","4.32","-0.53","3.78","3.31"
"Mariners","9.67","1.21","8.00","2.01","28.6 %","3.6 %","25.0 %",".163","0.72",".157","100.0 %","45","101","66","2.01","4.51","-2.50","3.03","2.73"
"Dodgers","8.44","4.50","1.88","1.13","22.1 %","11.8 %","10.3 %",".254","1.44",".310","89.6 %","54","107","110","2.25","4.65","-2.40","4.89","4.73"
"Yankees","8.47","4.24","2.00","1.32","20.8 %","10.4 %","10.4 %",".277","1.59",".330","70.8 %","115","101","119","5.29","4.74","0.55","5.46","4.76"
"Orioles","8.29","5.35","1.55","1.07","21.5 %","13.9 %","7.6 %",".187","1.28",".216","83.3 %","68","100","116","3.21","4.79","-1.58","5.31","5.12"
"Pirates","7.71","2.57","3.00","1.61","21.6 %","7.2 %","14.4 %",".170","0.89",".169","76.2 %","89","113","117","3.86","5.00","-1.14","5.16","4.30"
"Reds","9.28","6.75","1.38","1.27","23.2 %","16.8 %","6.3 %",".256","1.69",".321","67.1 %","131","119","114","5.91","5.37","0.54","5.03","5.26"
"Rays","6.67","3.64","1.83","1.82","17.3 %","9.5 %","7.9 %",".228","1.28",".233","78.4 %","96","125","127","4.55","5.67","-1.12","6.00","5.13"
"Nationals","9.45","5.06","1.87","2.03","21.9 %","11.7 %","10.2 %",".301","1.84",".354","64.0 %","165","127","117","7.43","5.73","1.70","5.19","4.79"
"Astros","9.00","2.25","4.00","2.81","22.5 %","5.6 %","16.9 %",".284","1.44",".304","81.3 %","113","133","84","5.06","6.03","-0.96","3.83","3.75"
"Cubs","6.95","5.73","1.21","1.64","16.7 %","13.7 %","2.9 %",".241","1.55",".258","71.9 %","140","150","162","6.14","6.62","-0.49","7.15","5.85"
"Rockies","5.21","4.74","1.10","2.37","12.6 %","11.5 %","1.2 %",".303","1.74",".300","63.0 %","160","154","152","8.05","7.21","0.84","6.72","6.08"
